track_id,is_seed_track,lead_genre,semantic_score,lead_genre_match,genre_overlap_count,tag_overlap_count,numeric_pass_count,tempo_distance,loudness_distance,key_distance,mode_distance,decision,decision_reason
TRAAAAW128F429D538,0,bay area,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAABD128F429CF47,0,60s,2,0,3,3,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAAADZ128F9348C2E,0,latin,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAAEF128F4273421,0,new wave,2,0,2,2,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAAAFD128F92F423A,0,punk rock,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAAMO128F1481E7F,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAAMQ128F1460CD3,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAAPK128E0786D96,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAARJ128F9320760,0,bra2,2,0,1,1,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAAAVG12903CFA543,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAAAVO128F93133D4,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABDL12903CAABBA,0,latin,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABJL12903CDCF1A,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABJV128F1460C49,0,slowhand,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABLR128F423B7E3,0,blues,2,0,1,2,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAABNV128F425CEE1,0,drjazzmrfunkmusic,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABRB128F9306DD5,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABVM128F92CA9DC,0,hard rock,2,0,3,3,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAABXG128F9318EBD,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABYN12903CFD305,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAABYW128F4244559,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAACCG128F92E8A55,0,,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
TRAACER128F4290F96,0,mathcore,2,0,2,2,0,,,,,keep,"keep: semantic_score=2, numeric_pass_count=0"
TRAACFV128F935E50B,0,oldies,0,0,0,0,0,,,,,reject,"reject: semantic_score=0, numeric_pass_count=0 below keep threshold"
