"paper_id","citation_key","note_file","pdf_status","pdf_best_match_name","pdf_best_match_path","best_score","alt_match_2","alt2_score","alt_match_3","alt3_score"
"P-001","zhang_explainable_2020","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-001_zhang_chen_2020.md","matched","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\387\Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","12","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","4","Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","4"
"P-002","tintarev_survey_2007","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-002_tintarev_masthoff_2007.md","matched","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\389\Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","11","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","6","Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf","5"
"P-003","tintarev_evaluating_2012","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-003_tintarev_masthoff_2012.md","matched","Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Tintarev and Masthoff - 2012 - Evaluating the effectiveness of explanations for recommender systems Methodological issues and empi.pdf","13","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","6","Knijnenburg et al. - 2012 - Explaining the user experience of recommender systems.pdf","4"
"P-004","jin_effects_2020","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-004_jin_et_al_2020.md","matched","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\395\Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","15","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","4","Pegoraro Santana et al. - 2020 - Music4All A New Music Database and Its Applications.pdf","4"
"P-005","schedl_current_2018","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-005_schedl_et_al_2018.md","matched","Schedl et al. - 2018 - Current challenges and visions in music recommender systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\399\Schedl et al. - 2018 - Current challenges and visions in music recommender systems research.pdf","15","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","6","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","5"
"P-006","deldjoo_content-driven_2024","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-006_deldjoo_schedl_knees_2024.md","matched","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\407\Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","16","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","16","Afroogh et al. - 2024 - Trust in AI progress, challenges, and future directions.pdf","5"
"P-007","bogdanov_semantic_2013","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-007_bogdanov_et_al_2013.md","matched","Bogdanov et al. - 2013 - Semantic audio content-based music recommendation and visualization based on user preference example.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\409\Bogdanov et al. - 2013 - Semantic audio content-based music recommendation and visualization based on user preference example.pdf","16","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","2","Schedl - 2017 - Investigating country-specific music preferences and music recommendation algorithms with the LFM-1b.pdf","2"
"P-008","vall_feature-combination_2019","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-008_vall_et_al_2019.md","matched","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\420\Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","16","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","16","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf","6"
"P-009","ferraro_automatic_2018","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-009_ferraro_et_al_2018.md","matched","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\417\Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","16","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","16","Teinemaa et al. - 2018 - Automatic Playlist Continuation through a Composition of Collaborative Filters.pdf","8"
"P-010","nauta_anecdotal_2023","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\03_literature\paper_notes\P-010_nauta_et_al_2023.md","matched","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\426\Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","16","Cavenaghi et al. - 2023 - A Systematic Study on Reproducibility of Reinforcement Learning in Recommendation Systems.pdf","5","Ru et al. - 2023 - Improving Music Genre Classification from multi-modal Properties of Music and Genre Correlations Per.pdf","4"
