"ParagraphIndex","Style","OutlineLevel","ListType","ListString","Text"
"1","Normal","10","0","","/"
"4","Normal","10","0","","Student Name: Timothy Spiteri"
"6","Normal","10","0","","Student Number: 2460123"
"9","Normal","10","0","","Module Code: 6CS007/MH1"
"11","Normal","10","0","","Module Name: Project and Professionalism"
"13","Normal","10","0","","Project Title: Designing and Evaluating a Transparent and Controllable Playlist Generation Pipeline Using Cross-Source Music Preference Data"
"15","Normal","10","0","","Module Leader Name: Steven Camilleri"
"17","Normal","10","0","","Supervisor Name: Thomas Xuereb"
"19","Normal","10","0","","Reader Name: Steven Xuereb"
"22","Normal","10","0","","Submission Date: 08/05/2026"
"24","Normal","10","0","","Award Title: BSc (Hons) Computer Science"
"31","Normal","10","0","","/"
"32","Normal","10","0","","Declaration Sheet"
"37","Normal","10","0","","Presented in partial fulfilment of the assessment requirements for the above award."
"39","Normal","10","0","","This work or any part thereof has not previously been presented in any form to the University or to any other institutional body whether for assessment or for other purposes. Save for any express acknowledgements, references and/or bibliographies cited in the work. I confirm that the intellectual contents of the work are the result of my own efforts and of no other person."
"41","Normal","10","0","","It is acknowledged that the author of any project work shall own the copyright. However, by submitting such copyright work for assessment, the author grants to the University a perpetual royalty-free licence to do all or any of those things referred to in section 16(i) of the Copyright Designs and Patents Act 1988. (viz: to copy work; to issue copies to the public; to perform or show or play the work in public; to broadcast the work or to make an adaptation of the work)."
"45","Normal","10","0","","Student Name: Timothy Spiteri"
"48","Normal","10","0","","Student Number: 2460123"
"52","Normal","10","0","","Signature: /Date: 08/05/2026"
"54","Heading 1","1","0","","Chapter 1: Introduction"
"55","Heading 2","2","0","","1.1 Project Motivation"
"56","First Paragraph","10","0","","Music streaming platforms give users access to large music catalogues. While this increases choice, it also makes it harder to find tracks that match user preferences. Recommender systems support music discovery and playlist generation."
"57","Body Text","10","0","","Many practical systems measure recommendation quality primarily by predictive accuracy. Accuracy alone does not meet the needs of users or evaluators who need to understand, adjust, and verify system behaviour. This project addresses transparency, controllability, observability, and reproducibility requirements."
"58","Body Text","10","0","","These requirements become especially important when preference evidence comes from implicit signals such as listening history. Listening history remains useful yet uncertain: it may reflect habit, convenience, or interface effects rather than genuine preference. A recommendation pipeline that treats it as direct ground truth can produce outputs that users and evaluators cannot inspect or challenge."
"59","Body Text","10","0","","Further complications arise when user-side listening data and the candidate track corpus come from different sources, use different identifiers, and have varying metadata quality. This cross-source condition introduces alignment gaps and coverage uncertainty that can affect every stage of the pipeline, from profiling through to final playlist assembly. This project directly responds to that challenge."
"60","Heading 2","2","0","","1.2 Recommender Systems and Music Recommendation"
"61","First Paragraph","10","0","","A recommender system functions as a computational tool that filters and ranks items according to estimated user relevance (Adomavicius and Tuzhilin, 2005; Lu et al., 2015). It predicts which items users will likely find useful based on available evidence such as prior interactions, metadata, and context. In music settings, this typically means selecting tracks from a large corpus based on inferred listening preferences."
"62","Body Text","10","0","","Music recommendation remains a well-established application of recommender systems. Unlike simple item retrieval, playlist generation involves collection-level properties including coherence, diversity, novelty, and ordering (Bonnin and Jannach, 2015; Schedl et al., 2018). A good playlist includes more than a set of individually relevant tracks; it needs to work as a sequence."
"63","Body Text","10","0","","Users and evaluators also need to understand why the system selected specific tracks and how control changes affect the output. This interpretability need sits at the center of this system design."
"64","Heading 2","2","0","","1.3 Cross-Source Data, Transparency, and Controllability"
"65","First Paragraph","10","0","","In this project, cross-source data refers to combining user listening history evidence with a separate candidate-track corpus and its associated audio and metadata features. This practical arrangement introduces uncertainty at the alignment stage: some records will not match, some matches remain ambiguous, and metadata completeness will vary across sources."
"66","Body Text","10","0","","Transparency and controllability provide the main responses to that uncertainty. In this project, transparency means users and evaluators can trace and verify system behaviour at each stage. Controllability means users and evaluators can adjust settings and directly observe output changes. Together with observability and reproducibility, these properties define the quality standard used throughout this project."
"67","Body Text","10","0","","Figure 1.1 illustrates the high-level structure of the pipeline developed in this thesis."
"68","Captioned Figure","10","0","","/"
"69","Image Caption","10","0","","Figure 1.1. High-level pipeline logic: Cross-source listening evidence -> Alignment and uncertainty handling -> Preference profiling -> Candidate shaping -> Deterministic scoring -> Playlist assembly -> Explanation and observability outputs."
"70","Heading 2","2","0","","1.4 Research Question, Aim, and Objectives"
"71","Heading 3","3","0","","Research Question"
"72","First Paragraph","10","0","","How can a deterministic playlist generation pipeline be designed and evaluated so that it remains transparent, controllable, and reproducible when user preference data and candidate tracks come from different sources?"
"73","Heading 3","3","0","","Aim"
