track_id,is_seed_track,lead_genre,semantic_score,lead_genre_match,genre_overlap_count,tag_overlap_count,numeric_pass_count,bpm_distance,danceability_distance,loudness_distance,V_mean_distance,A_mean_distance,D_mean_distance,decision,decision_reason
0ng9VQtWuSjd0arq,1,indie rock,3,1,2,6,6,18.608701,0.231047,2.418017,0.195352,0.115525,0.515686,reject,reject: seed track excluded from retrieval output
lJKIbZNzpS6IsNgh,1,indie pop,3,1,1,5,5,10.256864,0.409839,4.064711,0.013912,0.893258,0.150049,reject,reject: seed track excluded from retrieval output
yfm7RER1PWTqgjIp,1,electronic,3,1,2,6,4,32.844713,0.158458,8.489836,0.091652,0.056408,0.086797,reject,reject: seed track excluded from retrieval output
io7RYSOjKB4YpBKy,1,trip hop,3,1,2,1,6,19.773264,0.010948,3.622974,0.024732,0.591672,0.00126,reject,reject: seed track excluded from retrieval output
L4lGOjfg9lTLXh3U,1,alternative rock,3,1,3,3,5,38.311308,0.213365,0.551426,0.330671,0.331748,0.491132,reject,reject: seed track excluded from retrieval output
zp4zYVjiH2Tm3gTM,1,pop,3,1,1,3,5,2.263918,0.245578,6.797329,0.417052,0.211626,0.354087,reject,reject: seed track excluded from retrieval output
lZDk11KaRskQqhWf,1,indie rock,3,1,2,6,5,29.168062,0.198834,0.597212,0.445975,0.028258,0.057953,reject,reject: seed track excluded from retrieval output
wQ4RdMXUKj1ry4p6,1,indie rock,3,1,1,7,5,25.124677,0.168882,5.098114,0.448654,0.242149,0.078352,reject,reject: seed track excluded from retrieval output
cDf6FcmbzmqAMZXB,1,indie pop,3,1,2,5,5,33.817957,0.261774,5.020171,0.360437,0.211562,0.350652,reject,reject: seed track excluded from retrieval output
KxryDZFfi0mkMMiM,1,alternative rock,3,1,2,5,6,2.573637,0.264436,0.913415,0.175115,0.002922,0.206688,reject,reject: seed track excluded from retrieval output
o2LcK38b4mFLa55g,1,alternative rock,3,1,2,5,6,18.431165,0.328312,1.264304,0.190718,0.083895,0.504701,reject,reject: seed track excluded from retrieval output
axdv4kGugNPl0G69,0,alternative rock,3,1,2,4,4,10.089033,0.867046,7.064411,0.715247,0.097104,0.125165,keep,"keep: semantic_score=3, numeric_pass_count=4"
Nyb0YqqyaSvWThIG,0,indie pop,3,1,3,7,4,21.10594,0.989452,1.812609,0.025829,0.222185,0.077094,keep,"keep: semantic_score=3, numeric_pass_count=4"
hn1Z3OcZ4HM3hcIi,0,indie rock,3,1,2,5,6,5.619898,0.14896,5.817344,0.186385,0.128228,0.125924,keep,"keep: semantic_score=3, numeric_pass_count=6"
X4fkzkyHslEut5Tc,0,indie rock,3,1,2,5,6,19.63104,0.147847,5.318879,0.640824,0.21038,0.427816,keep,"keep: semantic_score=3, numeric_pass_count=6"
9EERk7bPIn9HNBvE,0,pop,3,1,1,2,3,25.949106,0.539657,0.089377,1.185683,0.621755,0.59774,keep,"keep: semantic_score=3, numeric_pass_count=3"
CiLFjUJvYWGmyr2d,0,indie rock,3,1,2,5,6,14.582842,0.276186,4.671439,0.246914,0.234102,0.044395,keep,"keep: semantic_score=3, numeric_pass_count=6"
8keAhBJumHlc8qe9,0,indie rock,3,1,3,4,5,38.502165,0.101963,5.77852,0.189121,0.181672,0.052799,keep,"keep: semantic_score=3, numeric_pass_count=5"
IYI6RFvYIFFg9Mi7,0,trip hop,3,1,2,2,5,10.256182,0.258409,2.527337,1.439936,0.406955,0.398044,keep,"keep: semantic_score=3, numeric_pass_count=5"
