"paper_id","citation_key","note_exists","match_status","best_score","best_pdf","best_pdf_path","top2_score","top2_pdf"
"P-001","zhang_explainable_2020","False","matched","11","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\387\Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf","4","Balog et al. - 2019 - Transparent, Scrutable and Explainable User Models for Personalized Recommendation.pdf"
"P-002","tintarev_survey_2007","False","matched","10","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\389\Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","5","Elmagarmid et al. - 2007 - Duplicate Record Detection A Survey.pdf"
"P-003","tintarev_evaluating_2012","False","ambiguous","5","Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\389\Tintarev and Masthoff - 2007 - A Survey of Explanations in Recommender Systems.pdf","4","Herlocker et al. - 2004 - Evaluating collaborative filtering recommender systems.pdf"
"P-004","jin_effects_2020","False","matched","12","Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\395\Jin et al. - 2020 - Effects of personal characteristics in control-oriented user interfaces for music recommender system.pdf","3","Zhang and Chen - 2020 - Explainable Recommendation A Survey and New Perspectives.pdf"
"P-005","schedl_current_2018","False","matched","12","Schedl et al. - 2018 - Current challenges and visions in music recommender systems research.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\399\Schedl et al. - 2018 - Current challenges and visions in music recommender systems research.pdf","4","Zamani et al. - 2019 - An Analysis of Approaches Taken in the ACM RecSys Challenge 2018 for Automatic Music Playlist Contin.pdf"
"P-006","deldjoo_content-driven_2024","False","matched","12","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\papers\Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf","12","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf"
"P-007","bogdanov_semantic_2013","False","matched","12","Bogdanov et al. - 2013 - Semantic audio content-based music recommendation and visualization based on user preference example.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\409\Bogdanov et al. - 2013 - Semantic audio content-based music recommendation and visualization based on user preference example.pdf","2","Deldjoo et al. - 2024 - Content-driven music recommendation Evolution, state of the art, and challenges.pdf"
"P-008","vall_feature-combination_2019","False","matched","12","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\420\Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf","12","Vall et al. - 2019 - Feature-combination hybrid recommender systems for automated music playlist continuation.pdf"
"P-009","ferraro_automatic_2018","False","matched","12","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\417\Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf","12","Ferraro et al. - 2018 - Automatic playlist continuation using a hybrid recommender system combining features from text and a.pdf"
"P-010","nauta_anecdotal_2023","False","matched","12","Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","C:\Users\peach\Desktop\thesis-main (3)\thesis-main\thesis-main\10_resources\previous_drafts\lit_review_resource_pack\files\426\Nauta et al. - 2023 - From Anecdotal Evidence to Quantitative Evaluation Methods A Systematic Review on Evaluating Explai.pdf","3","Neto et al. - 2023 - The algorithmic nature of song-sequencing statistical regularities in music albums.pdf"
